cycle_date,recovery_score,hrv_ms,resting_hr_bpm,sleep_performance_pct,sleep_duration_min,day_strain,workout_strain,primary_activity
2026-07-10,69,56.3,59.8,67,386,12.1,5.9,Rest
2026-07-11,57,50.2,62.4,77,397,16.3,14.7,Walking
2026-07-12,69,49.2,57.7,93,463,17.2,11.6,Rest
2026-07-13,57,43.7,62.8,90,485,9.6,5.6,Running
2026-07-14,55,47.7,59.4,96,492,13.9,9.3,Rest
2026-07-15,61,51.7,64.7,86,404,7.6,6.5,Cricket
2026-07-16,87,62.6,57.5,81,469,15.5,10.6,Walking
2026-07-17,85,43.1,60.7,79,413,10.2,3.4,Weightlifting
2026-07-18,52,48.3,63.2,74,389,10.6,4.5,Weightlifting
2026-07-19,72,53.0,62.4,100,534,17.6,11.3,Walking
2026-07-20,74,44.3,61.4,87,490,14.4,10.6,Running
2026-07-21,65,48.1,63.6,100,508,14.2,10.3,Running
2026-07-22,69,59.3,59.1,96,489,6.0,0.2,Walking
2026-07-23,54,50.4,65.0,72,394,8.6,4.1,Rest
2026-07-24,89,54.8,58.5,84,474,9.9,7.1,Rest
2026-07-25,76,50.7,61.0,65,394,5.6,2.5,Walking
2026-07-26,65,51.9,59.5,87,435,11.4,7.7,Walking
2026-07-27,84,43.2,59.2,80,465,16.6,10.2,Walking
2026-07-28,56,36.9,61.1,84,458,14.8,11.4,Weightlifting
2026-07-29,57,45.9,62.9,76,413,12.6,9.9,Rest
2026-07-30,73,64.7,57.8,96,524,12.7,9.8,Rest
2026-07-31,85,45.5,59.1,91,481,12.0,10.8,Cricket
2026-08-01,50,56.5,60.6,91,466,13.0,8.0,Running
2026-08-02,66,53.7,59.7,94,491,8.8,4.8,Walking
2026-08-03,65,53.3,60.6,85,472,16.7,15.0,Weightlifting
2026-08-04,59,53.7,58.8,100,516,15.0,10.4,Walking
2026-08-05,63,55.0,59.9,95,472,10.2,3.8,Walking
2026-08-06,56,48.6,58.2,96,427,9.4,6.8,Running
2026-08-07,74,44.2,56.2,100,504,7.7,3.6,Walking
2026-08-08,68,55.6,60.6,100,513,12.6,6.0,Running
2026-08-09,67,44.4,60.5,69,370,11.7,10.5,Walking
2026-08-10,72,47.6,62.2,63,374,12.8,8.2,Running
2026-08-11,62,41.3,59.0,78,398,9.6,5.2,Weightlifting
2026-08-12,76,45.1,59.2,100,494,4.0,0.0,Running
2026-08-13,65,48.8,62.1,93,459,17.1,13.3,Walking
2026-08-14,63,48.7,60.1,89,437,12.9,8.7,Rest
2026-08-15,47,57.3,61.9,100,472,5.4,1.6,Running
2026-08-16,81,53.2,54.4,100,541,14.0,9.8,Rest
2026-08-17,59,40.6,64.9,92,523,9.3,3.9,Rest
2026-08-18,80,63.0,59.6,75,375,13.8,9.9,Weightlifting
2026-08-19,84,62.8,60.1,85,464,15.0,9.1,Walking
2026-08-20,68,40.9,58.2,76,399,6.2,0.0,Running
2026-08-21,71,49.9,56.1,98,475,6.4,0.3,Weightlifting
2026-08-22,58,38.6,60.9,100,512,8.2,2.8,Weightlifting
2026-08-23,62,37.4,60.2,79,406,15.9,13.1,Weightlifting
2026-08-24,72,60.2,61.5,92,455,8.2,6.4,Weightlifting
2026-08-25,68,50.6,64.5,79,422,15.2,12.4,Running
2026-08-26,59,51.5,61.7,91,457,18.0,14.9,Rest
2026-08-27,55,48.3,61.4,67,373,10.8,7.6,Weightlifting
2026-08-28,80,53.5,58.7,88,423,10.0,6.0,Walking
2026-08-29,65,44.7,58.1,73,393,13.8,11.7,Cricket
2026-08-30,56,59.1,60.9,73,390,11.9,5.7,Rest
2026-08-31,61,34.8,60.9,89,446,10.9,7.3,Rest
2026-09-01,67,55.8,60.0,81,447,11.6,6.9,Weightlifting
2026-09-02,87,61.7,60.8,97,475,11.1,8.8,Rest
2026-09-03,59,41.7,62.2,100,519,4.0,0.0,Walking
2026-09-04,89,50.6,57.2,83,452,17.9,13.8,Walking
2026-09-05,81,63.3,60.9,100,506,14.6,9.2,Walking
2026-09-06,77,58.1,63.4,81,420,15.4,10.3,Rest
2026-09-07,53,49.4,63.2,81,413,13.7,7.6,Walking
2026-09-08,87,54.3,61.5,100,545,9.9,4.6,Walking
2026-09-09,67,52.5,61.6,93,475,11.7,9.4,Running
2026-09-10,59,50.9,58.7,100,538,12.1,8.5,Rest
2026-09-11,52,43.4,61.2,63,344,15.9,11.6,Weightlifting
2026-09-12,53,43.6,61.6,100,485,7.0,1.4,Weightlifting
